,experiment,time,flow_profile,flow_time,sample_name,batch
e3_24h_p,3,24,unidirectional,unidirectional_24,e3_24h_p,in_vitro
e3_24h_t,3,24,bidirectional,bidirectional_24,e3_24h_t,in_vitro
e3_4h_p,3,4,unidirectional,unidirectional_4,e3_4h_p,in_vitro
e3_4h_t,3,4,bidirectional,bidirectional_4,e3_4h_t,in_vitro
e4_24h_p,4,24,unidirectional,unidirectional_24,e4_24h_p,in_vitro
e4_24h_t,4,24,bidirectional,bidirectional_24,e4_24h_t,in_vitro
e4_4h_p,4,4,unidirectional,unidirectional_4,e4_4h_p,in_vitro
e4_4h_t,4,4,bidirectional,bidirectional_4,e4_4h_t,in_vitro
e6_24h_p,6,24,unidirectional,unidirectional_24,e6_24h_p,in_vitro
e6_24h_t,6,24,bidirectional,bidirectional_24,e6_24h_t,in_vitro
e6_4h_p,6,4,unidirectional,unidirectional_4,e6_4h_p,in_vitro
e6_4h_t,6,4,bidirectional,bidirectional_4,e6_4h_t,in_vitro
cord_1,in_vivo,in_vivo,in_vivo,in_vivo_in_vivo,cord_1,in_vivo
cord_2,in_vivo,in_vivo,in_vivo,in_vivo_in_vivo,cord_2,in_vivo
cord_3,in_vivo,in_vivo,in_vivo,in_vivo_in_vivo,cord_3,in_vivo
cord_4,in_vivo,in_vivo,in_vivo,in_vivo_in_vivo,cord_4,in_vivo
cord_5,in_vivo,in_vivo,in_vivo,in_vivo_in_vivo,cord_5,in_vivo
cord_6,in_vivo,in_vivo,in_vivo,in_vivo_in_vivo,cord_6,in_vivo
cord_7,in_vivo,in_vivo,in_vivo,in_vivo_in_vivo,cord_7,in_vivo